Title,Description,Link,Category,Publication Date,article_id
Three States rebuff GM regulator’s directive to test transgenic cotton,"GEAC seeks reasons as Gujarat says proposal to test new pink bollworm-resistant seed variety is “unacceptable”, Telangana refuses trials in current season, Maharashtra fails to respond",https://www.thehindu.com/news/national/three-states-rebuff-gm-regulators-directive-to-test-transgenic-cotton/article66954588.ece,Business,"Sun, 11 Jun 2023 03:17:00 +0530",61
Djokovic struck on the head by water bottle while signing autographs at Italian Open,"“This was an accident and I am fine resting at the hotel with an ice pack,” Djokovic later posted on X",https://www.thehindu.com/sport/tennis/djokovic-struck-on-the-head-by-water-bottle-while-signing-autographs-at-italian-open/article68163972.ece,Sport,"Sat, 11 May 2024 10:37:07 +0530",62
South Africa to follow up on arrest of Gupta brothers in India,Indian media on Saturday reported Friday’s arrest of Anil and Ajay Gupta in Uttarakhand.,https://www.thehindu.com/news/international/south-africa-to-follow-up-on-arrest-of-gupta-brothers-in-india/article68215955.ece,World,"Sun, 26 May 2024 03:06:00 +0530",63
"Haven't applied, won't apply for India coach's job: Andy Flower",Rahul Dravid won't be continuing after the T20 World Cup and BCCI has invited fresh applications with May 27 being the deadline,https://www.thehindu.com/sport/cricket/havent-applied-wont-apply-for-india-coachs-job-andy-flower/article68206616.ece,Sport,"Thu, 23 May 2024 11:17:25 +0530",64
"Congress claims MSP hike only on paper, accuses Modi govt. of betraying farmers","The govt. had turned the MSP into ‘maximum suffering of the producer’ which proved that the BJP had ‘anti-farmer DNA,’ says party general secretary Randeep Surjewala",https://www.thehindu.com/news/national/congress-claims-msp-hike-only-on-paper-accuses-modi-govt-of-betraying-farmers/article66947549.ece,Business,"Thu, 08 Jun 2023 22:26:38 +0530",65
Sensex tumbles 700 points amid broad-based selloff; Nifty slips from record,"Bajaj Finserv, Mahindra & Mahindra, State Bank of India, ICICI Bank and Infosys were among the other gainers.",https://www.thehindu.com/business/markets/sensex-tumbles-700-points-amid-broad-based-selloff-nifty-slips-from-record/article68135659.ece,Business,"Fri, 03 May 2024 17:11:58 +0530",66
Switzerland’s Nemo wins 68th Eurovision Song Contest after event roiled by protests over Gaza,"Swiss singer Nemo has won the 68th Eurovision Song Contest with “The Code,” an operatic ode to the singer’s journey toward embracing a nongender identity",https://www.thehindu.com/entertainment/switzerlands-nemo-wins-68th-eurovision-song-contest-after-event-roiled-by-protests-over-gaza/article68167306.ece,Entertainment,"Sun, 12 May 2024 11:59:23 +0530",67
"LOL, really","LOL in Shamirpet in Hyderabad stands for Land of Love, a venue for shooting of photographs and videos",https://www.thehindu.com/life-and-style/leisure/lol-really/article66911575.ece,life-and-style,"Thu, 08 Jun 2023 16:12:05 +0530",69
"FPO has helped reduce farm input cost, says NABARD official","Farmers of Navalgund block were facing challenges in finding direct market and bringing down input cost. There was a need to establish an FPO (Farmers Producers Organisation), which materialised in 2016",https://www.thehindu.com/news/national/karnataka/fpo-has-helped-reduce-farm-input-cost-says-nabard-official/article67142874.ece,Business,"Mon, 31 Jul 2023 23:32:07 +0530",70
The vegan masala chai chocolate from Paul and Mike that won a gold,Paul and Mike’s masala chai-flavoured chocolate bar won the top spot at the International Chocolate Awards—Asia Pacific 2023,https://www.thehindu.com/life-and-style/food/the-vegan-masala-chai-chocolate-bar-from-paul-and-mike-that-won-a-gold/article67119011.ece,life-and-style,"Mon, 31 Jul 2023 14:34:34 +0530",71
